Team,AutoD1Cross,AutoD1Reach,AutoD2Cross,AutoD2Reach,AutoD3Cross,AutoD3Reach,AutoD4Cross,AutoD4Reach,AutoD5Cross,AutoD5Reach,AutoHighShotMade,AutoHighShotAtt,AutoLowShotMade,AutoLowShotAtt,AutoTotalPoints,TeleOpD1Cross,TeleOpD1Att,TeleOpD2Cross,TeleOpD2Att,TeleOpD3Cross,TeleOpD3Att,TeleOpD4Cross,TeleOpD4Att,TeleOpD5Cross,TeleOpD5Att,ChallengeScale,TeleOpHighShotMade,TeleOpHighShotAtt,TeleOpLowShotMade,TeleOpLowShotAtt,TeleOpTotalPoints,TotalPoints,Defense,Match,Alliance,AutoCross,AutoReach,TeleCross,TeleCrossRaw
5667,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,15,25,0,77,red,True,False,2,2
451,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,20,30,0,77,red,True,False,3,3
3484,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,1,0,0,1,5,12,22,0,77,red,True,False,1,1
4256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,3,3,0,0,0,0,1,3,4,2,4,39,41,0,77,blue,False,True,3,4
1939,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,2,1,0,0,3,3,21,31,0,77,blue,True,False,2,2
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,blue,False,False,0,0
3324,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,10,20,0,78,red,True,False,1,1
48,1,1,0,0,0,0,0,0,0,0,0,1,0,0,10,4,4,0,0,0,0,0,0,0,0,1,5,6,0,0,40,50,0,78,red,True,False,2,4
279,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,1,1,2,2,1,1,1,0,0,0,0,35,37,0,78,red,False,True,6,6
4521,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,78,blue,True,False,0,0
3201,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,78,blue,True,False,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,blue,False,False,0,0
4920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,0,79,red,False,False,0,0
5811,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1,1,1,1,2,2,1,0,0,3,3,36,46,0,79,red,True,False,5,5
3814,1,1,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,15,0,79,red,True,False,1,1
5809,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,1,1,0,0,1,1,0,0,0,0,2,1,1,0,0,30,40,0,79,blue,True,False,2,2
1038,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,1,1,1,1,0,0,1,1,2,5,1,0,0,1,2,32,42,0,79,blue,True,False,5,5
4284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,blue,False,False,0,0
2051,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10,20,0,80,red,True,False,1,1
